date,lat_min,lon_min,lon_max,lat_max,prev_fire_point,today_point_count,prev_frp_mean,today_frp_mean,prev_firemask,today_firemask,NDVI,EVI,surf_reflectance_red,surf_reflectance_nir,surf_reflectance_blue,wind_dir,wind_speed,stn_id,TA_AVG,TA_MAX,TA_MIN,HM_AVG,RN_DAY,altitude
2019-04-06,34.75676,127.53378,127.7027,34.89189,1,0,0.55,0.0,firemask_output\grid_20190405_lon127.53378_lat34.75676.png,firemask_output\white.png,0.3673122488090392,0.3543574636683052,747.4018979225453,1793.5071917262248,318.2711194138485,0.0,0.0,168,13.7,18.4,1551.0,48.5,-9.0,65.93
2019-04-06,35.02703,128.71622,128.88514,35.16216,2,3,1.435,0.9966666666666668,firemask_output\grid_20190405_lon128.71622_lat35.02703.png,firemask_output\grid_20190406_lon128.71622_lat35.02703.png,0.3490412371594316,0.7162696201900949,742.8770968502184,1591.2777685354613,358.35877973714827,145.0,0.5,253,14.9,20.0,1157.0,43.6,-9.0,54.59
2019-04-06,35.02703,128.88514,129.05405,35.16216,1,5,1.17,1.62,firemask_output\grid_20190405_lon128.88514_lat35.02703.png,firemask_output\grid_20190406_lon128.88514_lat35.02703.png,0.2695115007007715,0.6179175382417162,754.8528104919474,1403.7344017523535,288.3289131655375,145.0,0.5,159,14.4,18.4,1417.0,59.0,-9.0,69.56
2019-04-06,35.43243,129.22297,129.39189,35.56757,2,2,1.18,0.815,firemask_output\grid_20190405_lon129.22297_lat35.43243.png,firemask_output\grid_20190406_lon129.22297_lat35.43243.png,0.3370404971736909,0.9018369239912768,1069.7285037448828,2140.549272685052,694.1375850440344,250.0,2.6,152,14.2,19.9,1610.0,41.6,-9.0,81.14
2019-04-06,35.7027,126.85811,127.02703,35.83784,1,0,0.62,0.0,firemask_output\grid_20190405_lon126.85811_lat35.70270.png,firemask_output\white.png,0.2823206435179776,0.499729024291173,1622.9170358199997,2875.702323759599,823.903538326086,0.0,0.0,146,13.0,21.8,1457.0,43.3,-9.0,60.44
2019-04-06,35.97297,129.22297,129.39189,36.10811,9,0,1.0,0.0,firemask_output\grid_20190405_lon129.22297_lat35.97297.png,firemask_output\white.png,0.3545174915539129,0.7701401681879324,1093.663672917607,2270.0330618045746,631.7016222399409,250.0,2.6,138,14.1,20.5,1248.0,50.4,-9.0,3.94
2019-04-06,35.97297,129.39189,129.56081,36.10811,6,1,1.1483333333333332,0.87,firemask_output\grid_20190405_lon129.39189_lat35.97297.png,firemask_output\grid_20190406_lon129.39189_lat35.97297.png,0.4489767767295305,1.2054937927156837,341.39194215377466,993.4873357389738,148.6212576562718,250.0,2.6,138,14.1,20.5,1248.0,50.4,-9.0,3.94
2019-04-06,36.91892,126.52027,126.68919,37.05405,1,0,1.87,0.0,firemask_output\grid_20190405_lon126.52027_lat36.91892.png,firemask_output\white.png,0.0258640248520404,1.324841105869521,6768.886031068241,7130.0071154765765,6301.919560108954,0.0,0.0,129,9.4,16.8,1232.0,47.6,-9.0,25.25
2019-04-06,36.91892,126.68919,126.85811,37.05405,8,0,2.345,0.0,firemask_output\grid_20190405_lon126.68919_lat36.91892.png,firemask_output\white.png,0.0269857524846283,1.931435843973084,6786.167658486028,7162.37847064572,6274.591227164177,0.0,0.0,129,9.4,16.8,1232.0,47.6,-9.0,25.25
2019-04-06,36.91892,128.20946,128.37838,37.05405,5,0,1.006,0.0,firemask_output\grid_20190405_lon128.20946_lat36.91892.png,firemask_output\white.png,0.0339686984917266,-0.8177703917152838,5888.532749214963,6300.817233108965,5488.228052237909,0.0,0.0,221,8.1,16.1,1457.0,41.5,-9.0,264.62
2019-04-06,37.05405,128.20946,128.37838,37.18919,1,0,1.28,0.0,firemask_output\grid_20190405_lon128.20946_lat37.05405.png,firemask_output\white.png,0.0334494687670434,-3.0414052455407883,5758.982317018227,6151.154370836601,5410.631159756833,0.0,0.0,221,8.1,16.1,1457.0,41.5,-9.0,264.62
2019-04-06,37.18919,128.20946,128.37838,37.32432,1,0,0.8,0.0,firemask_output\grid_20190405_lon128.20946_lat37.18919.png,firemask_output\white.png,0.0287409204006357,5.455728353832279,6528.501162810867,6912.844744822826,6117.53139589292,0.0,0.0,221,8.1,16.1,1457.0,41.5,-9.0,264.62
