filename,lon_min,lat_min,lon_max,lat_max,point_count,acq_date,frp_mean
grid_2022-03-06_lon126.68919_lat36.91892.png,126.6891891891892,36.91891891891897,126.85810810810811,37.054054054054106,1,2022-03-06,3.27
grid_2022-03-06_lon127.87162_lat35.16216.png,127.87162162162163,35.16216216216219,128.04054054054055,35.29729729729733,1,2022-03-06,30.76
grid_2022-03-06_lon128.54730_lat35.70270.png,128.5472972972973,35.70270270270274,128.7162162162162,35.837837837837874,4,2022-03-06,5.745
grid_2022-03-06_lon128.54730_lat37.05405.png,128.5472972972973,37.054054054054106,128.7162162162162,37.18918918918924,12,2022-03-06,9.635833333333334
grid_2022-03-06_lon128.71622_lat35.02703.png,128.71621621621622,35.02702702702705,128.88513513513513,35.16216216216219,1,2022-03-06,1.29
grid_2022-03-06_lon128.88514_lat37.45946.png,128.88513513513516,37.45945945945952,129.05405405405406,37.59459459459465,40,2022-03-06,6.61425
grid_2022-03-06_lon129.05405_lat35.16216.png,129.05405405405406,35.16216216216219,129.22297297297297,35.29729729729733,3,2022-03-06,4.05
grid_2022-03-06_lon129.05405_lat37.32432.png,129.05405405405406,37.32432432432438,129.22297297297297,37.45945945945952,1,2022-03-06,0.93
grid_2022-03-06_lon129.05405_lat37.45946.png,129.05405405405406,37.45945945945952,129.22297297297297,37.59459459459465,7,2022-03-06,5.134285714285714
grid_2022-03-06_lon129.22297_lat35.97297.png,129.22297297297297,35.97297297297301,129.39189189189187,36.10810810810815,2,2022-03-06,4.625
grid_2022-03-06_lon129.22297_lat36.91892.png,129.22297297297297,36.91891891891897,129.39189189189187,37.054054054054106,101,2022-03-06,8.876435643564356
grid_2022-03-06_lon129.22297_lat37.05405.png,129.22297297297297,37.054054054054106,129.39189189189187,37.18918918918924,40,2022-03-06,6.01075
